% Model:              Yoke ima Lab _ Vitor -V5.mph
% Version:            COMSOL 5.3.0.260
% Date:               Feb 4 2020, 17:30
% Dimension:          2
% Nodes:              451
% Expressions:        1
% Description:        Magnetic flux density norm
% Length unit:        m
% R                       Z                        mf2.normB (T)
0                         0                        0.15635103682154114
1                         0                        0.15426515971448232
2                         0                        0.15991375753666304
3                         0                        0.16520064543370355
4                         0                        0.1711304713151613
5                         0                        0.17782745211556164
6                         0                        0.18526899077175957
7                         0                        0.19339409299624954
8                         0                        0.21086552516159232
9                         0                        0.2448142537647326
10                        0                        0.28340933478004393
11                        0                        0.32498606243577616
12                        0                        0.3685287504494657
13                        0                        0.41341180424636537
14                        0                        0.4592392788515809
15                        0                        1.016947948617101
16                        0                        1.0069066703293292
17                        0                        1.0030326699393728
18                        0                        1.0062804161092944
19                        0                        1.0174542634654942
20                        0                        1.0371106189709136
21                        0                        1.0655105482843805
22                        0                        1.1026203671109884
23                        0                        1.1481511108222
24                        0                        1.201621546494954
25                        0                        1.1554614122973217
26                        0                        0.8630300491169486
27                        0                        0.8079120282195448
28                        0                        0.752359802249668
29                        0                        0.6963724560340651
30                        0                        0.6399582692104696
31                        0                        0.5831330081145728
32                        0                        0.5259193701400008
33                        0                        0.4683478166688026
34                        0                        0.4104595690587003
35                        0                        0.3932652820675863
36                        0                        0.37782620402487344
37                        0                        0.36222956836857567
38                        0                        0.3464833585895829
39                        0                        0.33059776199987034
40                        0                        0.3145851331257958
0                         -1                       0.15835151976640158
1                         -1                       0.14351177809774887
2                         -1                       0.13698746850398216
3                         -1                       0.14062320077003723
4                         -1                       0.14591106615210792
5                         -1                       0.1524460298811337
6                         -1                       0.1600017444645906
7                         -1                       0.1684110138990948
8                         -1                       0.1694378797488245
9                         -1                       0.17189321873451668
10                        -1                       0.2119429585214843
11                        -1                       0.2555249670408884
12                        -1                       0.30105355231613856
13                        -1                       0.34773350619711996
14                        -1                       0.5723280506346196
15                        -1                       0.5991660067159046
16                        -1                       0.8908124503485938
17                        -1                       0.8828011384773865
18                        -1                       0.8844979188026744
19                        -1                       0.8967440636978435
20                        -1                       0.9199313850774293
21                        -1                       0.9539767404662134
22                        -1                       0.9983845484192932
23                        -1                       1.0523653641871253
24                        -1                       1.148196052071116
25                        -1                       1.0562115950787558
26                        -1                       0.830841162155327
27                        -1                       0.7749653674220637
28                        -1                       0.7186965091289573
29                        -1                       0.6620542512719397
30                        -1                       0.605069765711391
31                        -1                       0.5477871627264469
32                        -1                       0.4902677901520451
33                        -1                       0.43259944264107836
34                        -1                       0.42850377870186657
35                        -1                       0.40048812060992817
36                        -1                       0.37770115451650005
37                        -1                       0.36195072973345915
38                        -1                       0.34606850659700267
39                        -1                       0.33006817540139843
40                        -1                       0.3139658845645596
0                         -2                       0.14191158149442412
1                         -2                       0.12470257342480691
2                         -2                       0.12294601835552416
3                         -2                       0.11748116251204213
4                         -2                       0.12180383959566582
5                         -2                       0.12806271805427608
6                         -2                       0.13572562155805082
7                         -2                       0.1436827118152591
8                         -2                       0.14352642461769974
9                         -2                       0.10522421937760933
10                        -2                       0.14916457023489985
11                        -2                       0.19599194497561484
12                        -2                       0.24396060889877716
13                        -2                       0.3999088815657158
14                        -2                       0.42953186394286463
15                        -2                       0.46431463348803004
16                        -2                       0.6346734910458943
17                        -2                       0.7610627576775564
18                        -2                       0.7631028399697445
19                        -2                       0.7789768087463682
20                        -2                       0.8086753004367505
21                        -2                       0.851440601158385
22                        -2                       0.9060007977651778
23                        -2                       0.9891282871447196
24                        -2                       1.0121104506697405
25                        -2                       0.9576081005680723
26                        -2                       0.9042486405492339
27                        -2                       0.7424913882346402
28                        -2                       0.6857485171791787
29                        -2                       0.6287522028425833
30                        -2                       0.57157343437583
31                        -2                       0.5143109848211341
32                        -2                       0.4571066831521783
33                        -2                       0.45382647337171883
34                        -2                       0.42882801792607955
35                        -2                       0.40206536415570954
36                        -2                       0.3833153490423886
37                        -2                       0.3617741249322033
38                        -2                       0.3457833787496143
39                        -2                       0.3296996170514695
40                        -2                       0.3135431743564654
0                         -3                       0.12547400214547982
1                         -3                       0.10669792965693091
2                         -3                       0.1058194403905465
3                         -3                       0.10189855782236826
4                         -3                       0.09882535475465783
5                         -3                       0.10475493495721548
6                         -3                       0.1125922238860325
7                         -3                       0.11796957283404315
8                         -3                       0.12038402213001817
9                         -3                       0.1269378446519496
10                        -3                       0.10407767793239128
11                        -3                       0.1535194434118546
12                        -3                       0.22784661578330814
13                        -3                       0.262310288774758
14                        -3                       0.30316924341161666
15                        -3                       0.3486765815051193
16                        -3                       0.4934568623965078
17                        -3                       0.5092865800255455
18                        -3                       0.6440669323473412
19                        -3                       0.6674002072269528
20                        -3                       0.7077224315762435
21                        -3                       0.7629892971641198
22                        -3                       0.8351264919078741
23                        -3                       0.8540708808846973
24                        -3                       0.8796640406650804
25                        -3                       0.860002989696646
26                        -3                       0.8058536744863896
27                        -3                       0.7535002628619915
28                        -3                       0.6537693786559937
29                        -3                       0.5968039858147031
30                        -3                       0.5399212147079592
