# Model:              Yoke ima Lab _ Vitor -V5.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2020, 14:49
# Dimension:          2
# Nodes:              10201
# Expressions:        1
# Description:        Campo aplicado
# Length unit:        m
# R                       Z                        mf2.normH (A/m)
0                         0                        103.68356466405773
5.0E-4                    0                        103.68438033724927
0.001                     0                        103.68519621404735
0.0015                    0                        103.68601229444724
0.002                     0                        103.68682857844405
0.0025                    0                        103.68764506603293
0.003                     0                        103.68846175720924
0.0035                    0                        103.68927865196797
0.004                     0                        103.69009575030441
0.0045000000000000005     0                        103.69091305221377
0.005                     0                        103.6917305576912
0.0055                    0                        103.69254826673185
0.006                     0                        103.69336617933098
0.006500000000000001      0                        103.69418429548375
0.007                     0                        103.6950026151853
0.0075                    0                        103.69582113843083
0.008                     0                        258.8149489415271
0.0085                    0                        237.50405493960335
0.009000000000000001      0                        218.56161839115268
0.0095                    0                        201.6137216966097
0.01                      0                        186.3612359815535
0.0105                    0                        172.5620149631673
0.011                     0                        160.01794515344872
0.0115                    0                        148.56537440749855
0.012                     0                        138.06793349418348
0.0125                    0                        128.41108067836942
0.013000000000000001      0                        119.49790546764042
0.0135                    0                        111.24586512553799
0.014                     0                        103.58422082272044
0.0145                    0                        96.45200462718977
0.015                     0                        89.79639357073296
0.0155                    0                        83.57139899792529
0.016                     0                        77.73680239327363
0.0165                    0                        72.25728561528386
0.017                     0                        67.10171579216747
0.0175                    0                        62.24255432009508
0.018000000000000002      0                        57.65536633673705
0.0185                    0                        53.31841235278621
0.019                     0                        49.212307871040686
0.0195                    0                        45.31974015558402
0.02                      0                        41.625234122337
0.0205                    0                        38.11496187025769
0.021                     0                        34.77659295656281
0.021500000000000002      0                        31.599185537426568
0.022                     0                        28.573122578733376
0.0225                    0                        25.690103601406225
0.023                     0                        22.94321298624133
0.0235                    0                        20.32710497852925
0.024                     0                        17.838382156252568
0.0245                    0                        15.476317855287665
0.025                     0                        13.244228197305308
0.025500000000000002      0                        11.152137083794734
0.026000000000000002      0                        9.222114245461285
0.0265                    0                        7.499109639318657
0.027                     0                        6.071399681450551
0.0275                    0                        5.095144488660849
0.028                     0                        4.761302388727478
0.0285                    0                        5.120218485358739
0.029                     0                        5.992103057768152
0.029500000000000002      0                        7.1491790087319815
0.03                      0                        8.442155646339975
0.0305                    0                        9.791598808430402
0.031                     0                        11.156564104541046
0.0315                    0                        12.515459222255343
0.032                     0                        13.856573127928348
0.0325                    0                        15.173463291758845
0.033                     0                        16.46262783735917
0.0335                    0                        17.722273765394227
0.034                     0                        18.951633939896233
0.0345                    0                        20.150572000681073
0.035                     0                        21.319345252240296
0.035500000000000004      0                        22.45845782305605
0.036000000000000004      0                        23.56856730632023
0.0365                    0                        24.65042411265482
0.037                     0                        25.70483139855231
0.0375                    0                        26.7326182567547
0.038                     0                        27.734621637687358
0.0385                    0                        28.71167412517041
0.039                     0                        29.664595699079904
0.0395                    0                        30.594188248886834
0.04                      0                        31.50123200539281
0.0405                    0                        32.38648332084849
0.041                     0                        33.25067340216351
0.0415                    0                        34.09450771963928
0.042                     0                        34.91866589417488
0.0425                    0                        35.72380192191367
0.043000000000000003      0                        36.51054463445855
0.043500000000000004      0                        37.27949832078481
0.044                     0                        38.03124345697798
0.0445                    0                        38.766337504335986
0.045                     0                        39.48531574697445
0.0455                    0                        40.188692147955514
0.046                     0                        40.87696020842458
0.0465                    0                        41.5505938188127
0.047                     0                        42.210048094035514
0.0475                    0                        42.85576018728127
0.048                     0                        43.488150078469765
0.0485                    0                        44.10762133502438
0.049                     0                        44.71456184348834
0.0495                    0                        45.30934451123399
0.05                      0                        45.89232793814688
0                         -1.0E-4                  115.9122887903115
5.0E-4                    -1.0E-4                  103.68257660705952
0.001                     -1.0E-4                  103.68339246706132
0.0015                    -1.0E-4                  103.68420853066853
0.002                     -1.0E-4                  103.68502479787664
0.0025                    -1.0E-4                  103.68584126868058
0.003                     -1.0E-4                  103.68665794307569
0.0035                    -1.0E-4                  103.68747482105707
0.004                     -1.0E-4                  103.68829190262004
0.0045000000000000005     -1.0E-4                  103.68910918775963
0.005                     -1.0E-4                  103.68992667647119
0.0055                    -1.0E-4                  103.6907443687497
0.006                     -1.0E-4                  103.69156226459046
0.006500000000000001      -1.0E-4                  103.69238036398869
0.007                     -1.0E-4                  103.69319866693961
0.0075                    -1.0E-4                  282.9028960508543
0.008                     -1.0E-4                  258.75409081871936
0.0085                    -1.0E-4                  237.4468864972718
0.009000000000000001      -1.0E-4                  218.50772999857
0.0095                    -1.0E-4                  201.56276843859035
0.01                      -1.0E-4                  186.31292472051612
0.0105                    -1.0E-4                  172.51609448261993
0.011                     -1.0E-4                  159.97419854250043
0.0115                    -1.0E-4                  148.52361310194536
0.012                     -1.0E-4                  138.02799256081846
0.0125                    -1.0E-4                  128.37281504358168
0.013000000000000001      -1.0E-4                  119.4611868736221
0.0135                    -1.0E-4                  111.2105796522276
0.014                     -1.0E-4                  103.5502668552846
0.0145                    -1.0E-4                  96.41929117731871
0.015                     -1.0E-4                  89.76483888190384
0.0155                    -1.0E-4                  83.54092938116827
0.016                     -1.0E-4                  77.70735125126288
0.0165                    -1.0E-4                  72.22879262289786
0.017                     -1.0E-4                  67.07412620855928
0.0175                    -1.0E-4                  62.21581841300783
0.018000000000000002      -1.0E-4                  57.62943890556182
0.0185                    -1.0E-4                  53.29325234110527
0.019                     -1.0E-4                  49.187878063826254
0.0195                    -1.0E-4                  45.296006961965986
0.02                      -1.0E-4                  41.60216745105704
0.0205                    -1.0E-4                  38.09253511399512
0.021                     -1.0E-4                  34.75478311505641
0.021500000000000002      -1.0E-4                  31.577973531695385
0.022                     -1.0E-4                  28.55249384481429
0.0225                    -1.0E-4                  25.67004911745484
0.023                     -1.0E-4                  22.923731004417217
0.0235                    -1.0E-4                  20.308203957132008
0.024                     -1.0E-4                  17.82008583145318
0.0245                    -1.0E-4                  15.458674308411545
0.025                     -1.0E-4                  13.227326745064037
0.025500000000000002      -1.0E-4                  11.136141167948791
0.026000000000000002      -1.0E-4                  9.207327886512456
0.0265                    -1.0E-4                  7.4861114778507405
0.027                     -1.0E-4                  6.061275823199681
0.0275                    -1.0E-4                  5.0896282208402575
0.028                     -1.0E-4                  4.761889145758177
0.0285                    -1.0E-4                  5.126353763882845
0.029                     -1.0E-4                  6.001774816164456
0.029500000000000002      -1.0E-4                  7.160731533994826
0.03                      -1.0E-4                  8.454648968392345
0.0305                    -1.0E-4                  9.804540734578428
0.031                     -1.0E-4                  11.16969221049921
0.0315                    -1.0E-4                  12.52862751024357
0.032                     -1.0E-4                  13.869696911378576
0.0325                    -1.0E-4                  15.186491802498452
0.033                     -1.0E-4                  16.475529983515102
0.0335                    -1.0E-4                  17.735030358820655
0.034                     -1.0E-4                  18.964233256424695
0.0345                    -1.0E-4                  20.16300713811173
0.035                     -1.0E-4                  21.33161250041638
0.035500000000000004      -1.0E-4                  22.47055562607518
0.036000000000000004      -1.0E-4                  23.580495583330297
0.0365                    -1.0E-4                  24.662183802612837
0.037                     -1.0E-4                  25.716424148693132
0.0375                    -1.0E-4                  26.7440462055788
0.038                     -1.0E-4                  27.74588726144684
0.0385                    -1.0E-4                  28.72278012786002
0.039                     -1.0E-4                  29.67554493276668
0.0395                    -1.0E-4                  30.604983655522332
0.04                      -1.0E-4                  31.51187657402033
0.0405                    -1.0E-4                  32.39698005602495
0.041                     -1.0E-4                  33.261025300606036
0.0415                    -1.0E-4                  34.104717752976306
0.042                     -1.0E-4                  34.92873699627581
0.0425                    -1.0E-4                  35.73373697963008
0.043000000000000003      -1.0E-4                  36.52034648100923
0.043500000000000004      -1.0E-4                  37.28916973111006
0.044                     -1.0E-4                  38.040787144613404
0.0445                    -1.0E-4                  38.7757561194452
0.045                     -1.0E-4                  39.494611875311556
0.0455                    -1.0E-4                  40.19786831046377
0.046                     -1.0E-4                  40.886018861399634
0.0465                    -1.0E-4                  41.55953735444683
0.047                     -1.0E-4                  42.218878841289026
0.0475                    -1.0E-4                  42.86448041294289
0.048                     -1.0E-4                  43.49676198842448
0.0485                    -1.0E-4                  44.11612707562592
0.049                     -1.0E-4                  44.72296350300292
0.0495                    -1.0E-4                  45.31764412136614
0.05                      -1.0E-4                  45.90052747558391
0                         -2.0E-4                  115.91119842451705
5.0E-4                    -2.0E-4                  103.68077287825574
0.001                     -2.0E-4                  103.6815887214606
0.0015                    -2.0E-4                  103.6824047682747
0.002                     -2.0E-4                  103.68322101869336
0.0025                    -2.0E-4                  103.68403747271176
0.003                     -2.0E-4                  103.68485413032518
0.0035                    -2.0E-4                  103.68567099152858
0.004                     -2.0E-4                  103.68648805631744
0.0045000000000000005     -2.0E-4                  103.68730532468673
0.005                     -2.0E-4                  103.68812279663167
0.0055                    -2.0E-4                  103.68894047214756
0.006                     -2.0E-4                  103.68975835122944
0.006500000000000001      -2.0E-4                  103.69057643387255
0.007                     -2.0E-4                  103.69139472007215
0.0075                    -2.0E-4                  282.8378527712643
0.008                     -2.0E-4                  258.6932290616231
0.0085                    -2.0E-4                  237.38971463615542
0.009000000000000001      -2.0E-4                  218.45383837882954
0.0095                    -2.0E-4                  201.5118121252139
0.01                      -2.0E-4                  186.26461055915252
0.0105                    -2.0E-4                  172.4701712423049
0.011                     -2.0E-4                  159.93044929990717
0.0115                    -2.0E-4                  148.48184928226982
0.012                     -2.0E-4                  137.98804922143484
0.0125                    -2.0E-4                  128.33454710284565
0.013000000000000001      -2.0E-4                  119.4244660665939
0.0135                    -2.0E-4                  111.17529205268438
0.014                     -2.0E-4                  103.51631084307903
0.0145                    -2.0E-4                  96.38657575946854
0.015                     -2.0E-4                  89.7332822979467
0.0155                    -2.0E-4                  83.51045793869696
0.016                     -2.0E-4                  77.67789835023586
0.0165                    -2.0E-4                  72.20029793612973
0.017                     -2.0E-4                  67.04653499366442
0.0175                    -2.0E-4                  62.18908093701355
0.018000000000000002      -2.0E-4                  57.60350996793928
0.0185                    -2.0E-4                  53.26809088644924
0.019                     -2.0E-4                  49.16344687937765
0.0195                    -2.0E-4                  45.272272460677705
0.02                      -2.0E-4                  41.57909954756246
0.0205                    -2.0E-4                  38.070107209640994
0.021                     -2.0E-4                  34.732972222331796
0.021500000000000002      -2.0E-4                  31.556760590124217
0.022                     -2.0E-4                  28.531864317613802
0.0225                    -2.0E-4                  25.649994023350704
0.023                     -2.0E-4                  22.904248657435975
0.0235                    -2.0E-4                  20.289302912722118
0.024                     -2.0E-4                  17.801789983715054
0.0245                    -2.0E-4                  15.441032006185445
0.025                     -2.0E-4                  13.21042777998307
0.025500000000000002      -2.0E-4                  11.1201498679173
0.026000000000000002      -2.0E-4                  9.192549998907046
0.0265                    -2.0E-4                  7.473129032931293
0.027                     -2.0E-4                  6.051180776974293
0.0275                    -2.0E-4                  5.084158636847892
0.028                     -2.0E-4                  4.762530251567719
0.0285                    -2.0E-4                  5.132530616310507
0.029                     -2.0E-4                  6.011471480779815
0.029500000000000002      -2.0E-4                  7.172298340512674
0.03                      -2.0E-4                  8.467150886724227
0.0305                    -2.0E-4                  9.817488231006436
0.031                     -2.0E-4                  11.182824202226737
0.0315                    -2.0E-4                  12.541798693364749
0.032                     -2.0E-4                  13.882822975845674
0.0325                    -2.0E-4                  15.19952219504361
0.033                     -2.0E-4                  16.488433740836836
0.0335                    -2.0E-4                  17.747788372965577
0.034                     -2.0E-4                  18.976833855125054
0.0345                    -2.0E-4                  20.175443453891276
0.035                     -2.0E-4                  21.34388084701853
0.035500000000000004      -2.0E-4                  22.482654464451336
0.036000000000000004      -2.0E-4                  23.59242484482417
0.0365                    -2.0E-4                  24.673944435166796
0.037                     -2.0E-4                  25.728017806312504
0.0375                    -2.0E-4                  26.755475031919207
0.038                     -2.0E-4                  27.75715373677414
0.0385                    -2.0E-4                  28.73388695933075
0.039                     -2.0E-4                  29.686494974984665
0.0395                    -2.0E-4                  30.615779852485286
0.04                      -2.0E-4                  31.52252191644864
0.0405                    -2.0E-4                  32.40747754986827
0.041                     -2.0E-4                  33.271377943753144
0.0415                    -2.0E-4                  34.11492851804743
0.042                     -2.0E-4                  34.93880881797811
0.0425                    -2.0E-4                  35.743672745556026
0.043000000000000003      -2.0E-4                  36.530149025010616
0.043500000000000004      -2.0E-4                  37.29884182868025
0.044                     -2.0E-4                  38.05033150978175
0.0445                    -2.0E-4                  38.78517540282278
0.045                     -2.0E-4                  39.50390866303908
0.0455                    -2.0E-4                  40.207045123839066
0.046                     -2.0E-4                  40.895078157048786
0.0465                    -2.0E-4                  41.56848152485962
0.047                     -2.0E-4                  42.22771021568535
0.0475                    -2.0E-4                  42.87320125837307
0.048                     -2.0E-4                  43.50537451100042
0.0485                    -2.0E-4                  44.124633421914474
0.049                     -2.0E-4                  44.731365761477875
0.0495                    -2.0E-4                  45.32594432391828
0.05                      -2.0E-4                  45.908727599069344
0                         -3.0000000000000003E-4   115.91010805873103
5.0E-4                    -3.0000000000000003E-4   103.678969150838
0.001                     -3.0000000000000003E-4   103.67978497724526
0.0015                    -3.0000000000000003E-4   103.68060100726557
0.002                     -3.0000000000000003E-4   103.68141724089436
0.0025                    -3.0000000000000003E-4   103.68223367812664
0.003                     -3.0000000000000003E-4   103.68305031895768
0.0035                    -3.0000000000000003E-4   103.68386716338263
0.004                     -3.0000000000000003E-4   103.6846842113967
0.0045000000000000005     -3.0000000000000003E-4   103.68550146299496
0.005                     -3.0000000000000003E-4   103.68631891817292
0.0055                    -3.0000000000000003E-4   103.6871365769255
0.006                     -3.0000000000000003E-4   103.68795443924783
0.006500000000000001      -3.0000000000000003E-4   103.68877250513529
0.007                     -3.0000000000000003E-4   103.68959077458294
0.0075                    -3.0000000000000003E-4   103.69040924758606
0.008                     -3.0000000000000003E-4   258.63236367016935
0.0085                    -3.0000000000000003E-4   237.33253935606183
0.009000000000000001      -3.0000000000000003E-4   218.3999435320009
0.0095                    -3.0000000000000003E-4   201.46085275659868
0.01                      -3.0000000000000003E-4   186.21629349747423
0.0105                    -3.0000000000000003E-4   172.42424524228076
0.011                     -3.0000000000000003E-4   159.88669742576525
0.0115                    -3.0000000000000003E-4   148.44008294845293
0.012                     -3.0000000000000003E-4   137.9481034760891
0.0125                    -3.0000000000000003E-4   128.29627685615532
0.013000000000000001      -3.0000000000000003E-4   119.38774304658563
0.0135                    -3.0000000000000003E-4   111.14000232699571
0.014                     -3.0000000000000003E-4   103.48235278616772
0.0145                    -3.0000000000000003E-4   96.3538583736611
0.015                     -3.0000000000000003E-4   89.70172381882963
0.0155                    -3.0000000000000003E-4   83.47998467059497
0.016                     -3.0000000000000003E-4   77.64844369030553
0.0165                    -3.0000000000000003E-4   72.17180155505288
0.017                     -3.0000000000000003E-4   67.01894214762709
0.0175                    -3.0000000000000003E-4   62.162341892261104
0.018000000000000002      -3.0000000000000003E-4   57.57757952404717
0.0185                    -3.0000000000000003E-4   53.242927989046485
0.019                     -3.0000000000000003E-4   49.13901431795573
0.0195                    -3.0000000000000003E-4   45.24853665203038
0.02                      -3.0000000000000003E-4   41.55603041222423
0.0205                    -3.0000000000000003E-4   38.04767815770435
0.021                     -3.0000000000000003E-4   34.71116027905351
0.021500000000000002      -3.0000000000000003E-4   31.535546713577702
0.022                     -3.0000000000000003E-4   28.51123399833471
0.0225                    -3.0000000000000003E-4   25.629938320765742
0.023                     -3.0000000000000003E-4   22.884765947693992
0.0235                    -3.0000000000000003E-4   20.270401848836396
0.024                     -3.0000000000000003E-4   17.783494618411336
0.0245                    -3.0000000000000003E-4   15.423390957196352
0.025                     -3.0000000000000003E-4   13.193531316470034
0.025500000000000002      -3.0000000000000003E-4   11.104163209174308
0.026000000000000002      -3.0000000000000003E-4   9.177780629943687
0.0265                    -3.0000000000000003E-4   7.460162394183689
0.027                     -3.0000000000000003E-4   6.041114696204733
0.0275                    -3.0000000000000003E-4   5.078735897785719
0.028                     -3.0000000000000003E-4   4.763225694761463
0.0285                    -3.0000000000000003E-4   5.138748902149764
0.029                     -3.0000000000000003E-4   6.021192939031948
0.029500000000000002      -3.0000000000000003E-4   7.183879365566345
0.03                      -3.0000000000000003E-4   8.479661368430627
0.0305                    -3.0000000000000003E-4   9.830441279979068
0.031                     -3.0000000000000003E-4   11.19596006966762
0.0315                    -3.0000000000000003E-4   12.554972765625001
0.032                     -3.0000000000000003E-4   13.895951317598232
0.0325                    -3.0000000000000003E-4   15.212554466979453
0.033                     -3.0000000000000003E-4   16.501339107692573
0.0335                    -3.0000000000000003E-4   17.760547806696287
0.034                     -3.0000000000000003E-4   18.989435735200264
0.0345                    -3.0000000000000003E-4   20.187880947442274
0.035                     -3.0000000000000003E-4   21.356150291605147
0.035500000000000004      -3.0000000000000003E-4   22.494754337869256
0.036000000000000004      -3.0000000000000003E-4   23.604355090563004
0.0365                    -3.0000000000000003E-4   24.685706010137128
0.037                     -3.0000000000000003E-4   25.739612371247567
0.0375                    -3.0000000000000003E-4   26.76690473565481
0.038                     -3.0000000000000003E-4   27.76842106356568
0.0385                    -3.0000000000000003E-4   28.744994619507512
0.039                     -3.0000000000000003E-4   29.697445825669885
0.0395                    -3.0000000000000003E-4   30.626576839719966
0.04                      -3.0000000000000003E-4   31.533168032636798
0.0405                    -3.0000000000000003E-4   32.417975802351194
0.041                     -3.0000000000000003E-4   33.28173133158002
0.0415                    -3.0000000000000003E-4   34.125140014829746
0.042                     -3.0000000000000003E-4   34.94888135927061
0.0425                    -3.0000000000000003E-4   35.75360921967281
0.043000000000000003      -3.0000000000000003E-4   36.53995226644166
0.043500000000000004      -3.0000000000000003E-4   37.30851461348407
0.044                     -3.0000000000000003E-4   38.05987655247337
0.0445                    -3.0000000000000003E-4   38.79459535445526
0.045                     -3.0000000000000003E-4   39.51320611014811
0.0455                    -3.0000000000000003E-4   40.21622258808259
0.046                     -3.0000000000000003E-4   40.904138095366875
0.0465                    -3.0000000000000003E-4   41.57742633004208
0.047                     -3.0000000000000003E-4   42.23654221722765
0.0475                    -3.0000000000000003E-4   42.881922723566376
0.048                     -3.0000000000000003E-4   43.51398764619714
0.0485                    -3.0000000000000003E-4   44.133140373890114
0.049                     -3.0000000000000003E-4   44.7397686189053
0.0495                    -3.0000000000000003E-4   45.33424511888074
0.05                      -3.0000000000000003E-4   45.91692830860569
0                         -4.0E-4                  115.90901769295323
5.0E-4                    -4.0E-4                  103.67716542480639
0.001                     -4.0E-4                  103.67798123441545
0.0015                    -4.0E-4                  103.67879724764147
0.002                     -4.0E-4                  103.67961346447964
0.0025                    -4.0E-4                  103.6804298849252
0.003                     -4.0E-4                  103.68124650897329
0.0035                    -4.0E-4                  103.68206333661911
0.004                     -4.0E-4                  103.68288036785788
0.0045000000000000005     -4.0E-4                  103.68369760268475
0.005                     -4.0E-4                  103.68451504109491
0.0055                    -4.0E-4                  103.68533268308353
0.006                     -4.0E-4                  103.68615052864587
0.006500000000000001      -4.0E-4                  103.68696857777695
0.007                     -4.0E-4                  103.68778683047212
0.0075                    -4.0E-4                  103.6886052867266
0.008                     -4.0E-4                  258.57149464444296
0.0085                    -4.0E-4                  237.27536065713213
0.009000000000000001      -4.0E-4                  218.34604545803242
0.0095                    -4.0E-4                  201.40989033275386
0.01                      -4.0E-4                  186.16797353554273
0.0105                    -4.0E-4                  172.37831648247337
0.011                     -4.0E-4                  159.84294292004952
0.0115                    -4.0E-4                  148.3983141005138
0.012                     -4.0E-4                  137.90815532473496
0.0125                    -4.0E-4                  128.25800430353584
0.013000000000000001      -4.0E-4                  119.35101781362641
0.0135                    -4.0E-4                  111.10471047519512
0.014                     -4.0E-4                  103.44839268456566
0.0145                    -4.0E-4                  96.32113902001302
0.015                     -4.0E-4                  89.67016344469336
0.0155                    -4.0E-4                  83.44950957688663
0.016                     -4.0E-4                  77.61898727153091
0.0165                    -4.0E-4                  72.14330347975913
0.017                     -4.0E-4                  66.99134767055679
0.0175                    -4.0E-4                  62.135601278899955
0.018000000000000002      -4.0E-4                  57.55164757403302
0.0185                    -4.0E-4                  53.21776364909646
0.019                     -4.0E-4                  49.1145803798094
0.0195                    -4.0E-4                  45.22479953636071
0.02                      -4.0E-4                  41.53296004543839
0.0205                    -4.0E-4                  38.02524795870636
0.021                     -4.0E-4                  34.689347285878334
0.021500000000000002      -4.0E-4                  31.51433190296429
0.022                     -4.0E-4                  28.49060288818268
0.0225                    -4.0E-4                  25.609882011386677
0.023                     -4.0E-4                  22.865282877596787
0.0235                    -4.0E-4                  20.251500769007105
0.024                     -4.0E-4                  17.76519974096981
0.0245                    -4.0E-4                  15.405751170078444
0.025                     -4.0E-4                  13.17663736896922
0.025500000000000002      -4.0E-4                  11.088181217295247
0.026000000000000002      -4.0E-4                  9.16301982725173
0.0265                    -4.0E-4                  7.447211651739599
0.027                     -4.0E-4                  6.031077734906069
0.0275                    -4.0E-4                  5.073360164159865
0.028                     -4.0E-4                  4.763975462093498
0.0285                    -4.0E-4                  5.145008480576248
0.029                     -4.0E-4                  6.030939078761103
0.029500000000000002      -4.0E-4                  7.195474546757077
0.03                      -4.0E-4                  8.49218038078406
0.0305                    -4.0E-4                  9.843399863822366
0.031                     -4.0E-4                  11.209099802810172
0.0315                    -4.0E-4                  12.568149721045252
0.032                     -4.0E-4                  13.909081932901598
0.0325                    -4.0E-4                  15.22558861588574
0.033                     -4.0E-4                  16.51424608245603
0.0335                    -4.0E-4                  17.7733086588828
0.034                     -4.0E-4                  19.002038895855545
0.0345                    -4.0E-4                  20.20031961818155
0.035                     -4.0E-4                  21.36842083375576
0.035500000000000004      -4.0E-4                  22.506855245999184
0.036000000000000004      -4.0E-4                  23.616286320293685
0.0365                    -4.0E-4                  24.69746852733057
0.037                     -4.0E-4                  25.751207843367272
0.0375                    -4.0E-4                  26.778335316665306
0.038                     -4.0E-4                  27.779689241738037
0.0385                    -4.0E-4                  28.756103108311667
0.039                     -4.0E-4                  29.70839748475858
0.0395                    -4.0E-4                  30.63737461717697
0.04                      -4.0E-4                  31.54381492254461
0.0405                    -4.0E-4                  32.428474813434434
0.041                     -4.0E-4                  33.292085464061856
0.0415                    -4.0E-4                  34.1353522433
0.042                     -4.0E-4                  34.958954620131635
0.0425                    -4.0E-4                  35.763546401967176
0.043000000000000003      -4.0E-4                  36.549756205296696
0.043500000000000004      -4.0E-4                  37.318188085507664
0.044                     -4.0E-4                  38.069422272683845
0.0445                    -4.0E-4                  38.80401597433756
0.045                     -4.0E-4                  39.52250421663152
0.0455                    -4.0E-4                  40.22540070318616
0.046                     -4.0E-4                  40.91319867635148
0.0465                    -4.0E-4                  41.586371769992446
0.047                     -4.0E-4                  42.24537484591013
0.0475                    -4.0E-4                  42.890644808522204
0.048                     -4.0E-4                  43.52260139400778
0.0485                    -4.0E-4                  44.14164793155079
0.049                     -4.0E-4                  44.74817207528765
0.0495                    -4.0E-4                  45.342546506256106
0.05                      -4.0E-4                  45.92512960418794
0                         -5.0E-4                  115.90792732718354
5.0E-4                    -5.0E-4                  115.9045853509763
0.001                     -5.0E-4                  103.67617749297116
0.0015                    -5.0E-4                  103.67699348940222
0.002                     -5.0E-4                  103.67780968944935
0.0025                    -5.0E-4                  103.67862609310745
0.003                     -5.0E-4                  103.67944270037206
0.0035                    -5.0E-4                  103.68025951123816
0.004                     -5.0E-4                  103.68107652570097
0.0045000000000000005     -5.0E-4                  103.68189374375578
0.005                     -5.0E-4                  103.68271116539756
0.0055                    -5.0E-4                  103.68352879062178
0.006                     -5.0E-4                  103.68434661942341
0.006500000000000001      -5.0E-4                  103.68516465179766
0.007                     -5.0E-4                  103.68598288773984
0.0075                    -5.0E-4                  103.68680132724485
0.008                     -5.0E-4                  258.5106219842982
0.0085                    -5.0E-4                  237.2181785392416
0.009000000000000001      -5.0E-4                  218.2921441569341
0.0095                    -5.0E-4                  201.35892485358494
0.01                      -5.0E-4                  186.11965067327316
0.0105                    -5.0E-4                  172.33238496302857
0.011                     -5.0E-4                  159.79918578277824
0.0115                    -5.0E-4                  148.35654273850835
0.012                     -5.0E-4                  137.86820476746175
0.0125                    -5.0E-4                  128.2197294449812
0.013000000000000001      -5.0E-4                  119.31429036774507
0.0135                    -5.0E-4                  111.06941649729093
0.014                     -5.0E-4                  103.4144305382877
0.0145                    -5.0E-4                  96.2884176984783
0.015                     -5.0E-4                  89.6386011755501
0.0155                    -5.0E-4                  83.41903265767674
0.016                     -5.0E-4                  77.589529093988
0.0165                    -5.0E-4                  72.11480371033981
0.017                     -5.0E-4                  66.9637515625472
0.0175                    -5.0E-4                  62.10885909704723
0.018000000000000002      -5.0E-4                  57.525714118059106
0.0185                    -5.0E-4                  53.19259786678544
0.019                     -5.0E-4                  49.09014506519989
0.0195                    -5.0E-4                  45.201061113942934
0.02                      -5.0E-4                  41.50988844761339
0.0205                    -5.0E-4                  38.00281661313552
0.021                     -5.0E-4                  34.667533243473834
0.021500000000000002      -5.0E-4                  31.493116159174683
0.022                     -5.0E-4                  28.46997098836787
0.0225                    -5.0E-4                  25.589825096886614
0.023                     -5.0E-4                  22.84579944954899
0.0235                    -5.0E-4                  20.232599676763556
0.024                     -5.0E-4                  17.746905356792123
0.0245                    -5.0E-4                  15.388112653498005
0.025                     -5.0E-4                  13.15974595202689
0.025500000000000002      -5.0E-4                  11.072203918024291
0.026000000000000002      -5.0E-4                  9.148267638708049
0.0265                    -5.0E-4                  7.434276896278979
0.027                     -5.0E-4                  6.021070047732938
0.0275                    -5.0E-4                  5.06803159585058
0.028                     -5.0E-4                  4.764779538467516
0.0285                    -5.0E-4                  5.151309210461665
0.029                     -5.0E-4                  6.040709788236165
0.029500000000000002      -5.0E-4                  7.207083821995543
0.03                      -5.0E-4                  8.504707891219748
0.0305                    -5.0E-4                  9.856363964973843
0.031                     -5.0E-4                  11.222243391680848
0.0315                    -5.0E-4                  12.581329553696559
0.032                     -5.0E-4                  13.922214818041883
0.0325                    -5.0E-4                  15.238624639336486
0.033                     -5.0E-4                  16.527154663501225
0.0335                    -5.0E-4                  17.786070928402353
0.034                     -5.0E-4                  19.01464333628148
0.0345                    -5.0E-4                  20.212759465538443
0.035                     -5.0E-4                  21.380692473046302
0.035500000000000004      -5.0E-4                  22.518957188523647
0.036000000000000004      -5.0E-4                  23.62821853377075
0.0365                    -5.0E-4                  24.709231986553938
0.037                     -5.0E-4                  25.76280422251318
0.0375                    -5.0E-4                  26.789766774833414
0.038                     -5.0E-4                  27.79095827119462
0.0385                    -5.0E-4                  28.767212425675265
0.039                     -5.0E-4                  29.719349952190008
0.0395                    -5.0E-4                  30.64817318481293
0.04                      -5.0E-4                  31.554462586128263
0.0405                    -5.0E-4                  32.438974583090506
0.041                     -5.0E-4                  33.30244034116273
0.0415                    -5.0E-4                  34.14556520343271
0.042                     -5.0E-4                  34.9690286005364
0.0425                    -5.0E-4                  35.77348429242301
0.043000000000000003      -5.0E-4                  36.559560841559744
0.043500000000000004      -5.0E-4                  37.32786224474507
0.044                     -5.0E-4                  38.07896867039617
0.0445                    -5.0E-4                  38.813437262461285
0.045                     -5.0E-4                  39.531802982487605
